Do you like solving puzzles/logical problems?,Do you enjoy coding/programming?,Do you like drawing/designing things?,Do you like analyzing numbers and data?,Do you like reading research/theory?,Do you worry about security/safety in tech?,Do you like making apps for phones?,Do you enjoy designing websites visually?,Do you like working with hardware/electronics?,Do you enjoy playing/building games?,Do you like teamwork/leading others?,Do you enjoy working with databases and SQL?,Do you enjoy deploying/maintaining servers or infrastructure?,Do you enjoy automating workflows and CI/CD?,Do you like writing tests and ensuring quality?,Do you enjoy optimizing performance and low-level systems?,Do you enjoy exploring new tech trends like AR/VR?,Are you interested in blockchain or crypto technologies?,Do you enjoy writing documentation and communicating ideas?,Do you prefer building user interfaces over backend logic?,Do you enjoy troubleshooting/debugging complex issues?,Do you enjoy understanding user/business needs and planning features?,"Based on your answers, which domain does the system suggest? (output)"
4,4,4,5,4,3,1,1,1,1,4,4,3,4,2,2,1,1,2,1,4,2,AI/ML
5,5,3,5,5,3,1,1,1,1,5,5,2,3,3,2,1,1,2,1,5,2,Data Science
4,5,3,5,4,3,1,1,1,1,4,5,2,3,3,2,1,1,2,1,4,2,Data Science
5,4,3,5,5,2,1,1,1,1,5,4,2,3,3,2,1,1,2,1,5,2,Data Science
4,4,3,5,4,3,1,1,1,1,4,4,2,3,3,2,1,1,2,1,4,2,Data Science
5,5,4,3,2,1,1,2,2,1,4,5,3,2,5,5,1,1,2,1,5,2,Backend Software
4,5,4,3,2,1,1,2,2,1,4,4,3,2,4,5,1,1,2,1,4,2,Backend Software
5,4,4,3,2,1,1,2,2,1,4,5,3,2,5,4,1,1,2,1,5,2,Backend Software
4,4,4,3,2,1,1,2,2,1,4,4,3,2,4,4,1,1,2,1,4,2,Backend Software
5,5,3,3,2,3,1,1,2,5,3,4,2,5,5,5,1,1,2,1,5,2,Frontend Dev
4,5,3,3,2,2,1,1,2,5,3,3,2,4,4,5,1,1,2,1,4,2,Frontend Dev
5,4,3,3,2,2,1,1,2,5,3,4,2,5,4,5,1,1,2,1,5,2,Frontend Dev
4,4,3,3,2,2,1,1,2,5,3,3,2,4,5,4,1,1,2,1,4,2,Frontend Dev
5,5,3,4,2,3,2,2,2,5,3,5,2,5,5,5,1,1,2,1,5,2,Full Stack
4,5,3,4,2,3,2,2,2,4,3,4,2,4,4,5,1,1,2,1,4,2,Full Stack
5,4,3,4,2,3,2,2,2,5,3,4,2,5,4,5,1,1,2,1,5,2,Full Stack
4,4,3,4,2,3,2,2,2,4,3,4,2,4,5,4,1,1,2,1,4,2,Full Stack
5,5,2,2,2,2,5,5,5,2,5,5,4,5,5,5,1,1,2,1,5,2,Cybersecurity
4,5,2,2,2,2,5,5,5,2,4,5,4,4,5,5,1,1,2,1,4,2,Cybersecurity
5,4,2,2,2,2,5,5,5,2,5,4,4,5,5,5,1,1,2,1,5,2,Cybersecurity
4,4,2,2,2,2,5,5,5,2,4,4,4,4,5,5,1,1,2,1,4,2,Cybersecurity
3,3,5,1,1,1,1,1,1,5,4,3,2,2,5,5,5,1,2,4,2,2,Game Development
4,3,5,1,1,1,1,1,1,5,4,3,2,2,5,5,4,1,2,4,2,2,Game Development
3,4,5,1,1,1,1,1,1,5,4,4,2,2,5,5,5,1,2,4,2,2,Game Development
4,4,5,1,1,1,1,1,1,5,5,4,2,2,5,5,5,1,2,4,2,2,Game Development
3,3,5,1,1,1,1,1,1,5,4,3,1,1,4,4,5,1,2,5,1,1,AR/VR
4,3,5,1,1,1,1,1,1,5,4,3,1,1,4,5,5,1,2,5,1,1,AR/VR
3,4,5,1,1,1,1,1,1,5,4,4,1,1,4,5,5,1,2,5,1,1,AR/VR
4,4,5,1,1,1,1,1,1,5,5,4,1,1,4,5,5,1,2,5,1,1,AR/VR
5,4,3,2,1,1,1,1,1,1,4,4,4,3,3,5,1,5,2,1,5,2,Blockchain
4,4,3,2,1,1,1,1,1,1,4,3,4,3,3,5,1,5,2,1,4,2,Blockchain
5,5,3,2,1,1,1,1,1,1,4,4,4,4,3,5,1,5,2,1,5,2,Blockchain
4,5,3,2,1,1,1,1,1,1,4,3,4,3,3,5,1,5,2,1,4,2,Blockchain
3,3,3,2,1,1,1,2,1,1,5,3,3,2,1,2,1,1,5,4,1,5,Product Management
4,3,3,2,1,1,1,2,1,1,5,3,3,2,1,2,1,1,5,4,1,5,Product Management
3,4,3,2,1,1,1,2,1,1,5,4,3,2,1,2,1,1,5,5,1,5,Product Management
4,4,3,2,1,1,1,2,1,1,5,4,4,2,1,2,1,1,5,5,1,5,Product Management
4,3,3,1,1,1,1,1,1,1,4,2,2,2,5,4,1,1,2,1,5,2,QA / Testing
5,3,3,1,1,1,1,1,1,1,4,3,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,4,3,1,1,1,1,1,1,1,4,3,2,2,5,4,1,1,2,1,4,2,QA / Testing
5,4,3,1,1,1,1,1,1,1,4,4,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,3,3,2,1,1,1,1,5,1,3,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,3,3,2,1,1,1,1,5,1,3,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
4,4,3,2,1,1,1,1,5,1,3,4,2,1,2,5,1,1,2,1,4,2,Embedded / IoT
5,4,3,2,1,1,1,1,5,1,3,4,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,5,5,5,5,4,1,1,1,1,5,5,4,5,3,3,1,1,2,1,5,2,AI/ML
4,5,5,5,4,4,1,1,1,1,4,5,4,4,3,3,1,1,2,1,4,2,AI/ML
5,4,5,5,5,3,1,1,1,1,5,4,4,5,3,3,1,1,2,1,5,2,AI/ML
4,4,5,5,4,3,1,1,1,1,4,4,4,4,3,3,1,1,2,1,4,2,AI/ML
5,5,4,5,5,4,1,1,1,1,5,5,3,4,4,3,1,1,2,1,5,2,Data Science
4,5,4,5,4,4,1,1,1,1,4,5,3,4,4,3,1,1,2,1,4,2,Data Science
5,4,4,5,5,3,1,1,1,1,5,4,3,4,4,3,1,1,2,1,5,2,Data Science
4,4,4,5,4,3,1,1,1,1,4,4,3,4,4,3,1,1,2,1,4,2,Data Science
5,5,3,3,2,2,1,2,2,1,5,5,3,2,5,5,1,1,2,1,5,2,Backend Software
4,5,3,3,2,2,1,2,2,1,4,5,3,2,4,5,1,1,2,1,4,2,Backend Software
5,4,3,3,2,2,1,2,2,1,5,4,3,2,5,4,1,1,2,1,5,2,Backend Software
4,4,3,3,2,2,1,2,2,1,4,4,3,2,4,4,1,1,2,1,4,2,Backend Software
5,5,2,4,2,3,2,2,3,5,4,5,2,5,5,5,1,1,2,1,5,2,Frontend Dev
4,5,2,4,2,3,2,2,3,4,4,4,2,4,4,5,1,1,2,1,4,2,Frontend Dev
5,4,2,4,2,3,2,2,3,5,4,5,2,5,4,5,1,1,2,1,5,2,Frontend Dev
4,4,2,4,2,3,2,2,3,4,4,4,2,4,5,4,1,1,2,1,4,2,Frontend Dev
5,5,3,4,2,3,2,3,2,5,4,5,3,5,5,5,1,1,2,1,5,2,Full Stack
4,5,3,4,2,3,2,3,2,4,4,4,3,4,4,5,1,1,2,1,4,2,Full Stack
5,4,3,4,2,3,2,3,2,5,4,5,3,5,4,5,1,1,2,1,5,2,Full Stack
4,4,3,4,2,3,2,3,2,4,4,4,3,4,5,4,1,1,2,1,4,2,Full Stack
5,5,2,2,2,2,5,5,5,2,5,5,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,5,2,2,2,2,5,5,5,2,4,5,5,4,5,5,1,1,2,1,4,2,Cybersecurity
5,4,2,2,2,2,5,5,5,2,5,4,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,4,2,2,2,2,5,5,5,2,4,4,5,4,5,5,1,1,2,1,4,2,Cybersecurity
3,3,5,1,1,1,1,1,1,5,5,4,2,2,5,5,5,1,2,4,2,2,Game Development
4,3,5,1,1,1,1,1,1,5,5,4,2,2,5,5,4,1,2,4,2,2,Game Development
3,4,5,1,1,1,1,1,1,5,5,4,2,2,5,5,5,1,2,4,2,2,Game Development
4,4,5,1,1,1,1,1,1,5,5,5,2,2,5,5,5,1,2,4,2,2,Game Development
3,3,5,1,1,1,1,1,1,5,4,3,1,1,4,4,5,1,2,5,1,1,AR/VR
4,3,5,1,1,1,1,1,1,5,4,4,1,1,4,5,5,1,2,5,1,1,AR/VR
3,4,5,1,1,1,1,1,1,5,5,4,1,1,4,5,5,1,2,5,1,1,AR/VR
4,4,5,1,1,1,1,1,1,5,5,5,1,1,4,5,5,1,2,5,1,1,AR/VR
5,4,3,2,1,1,1,1,1,1,5,4,4,3,4,5,1,5,2,1,5,2,Blockchain
4,4,3,2,1,1,1,1,1,1,4,4,4,3,4,5,1,5,2,1,4,2,Blockchain
5,5,3,2,1,1,1,1,1,1,5,5,4,4,4,5,1,5,2,1,5,2,Blockchain
4,5,3,2,1,1,1,1,1,1,4,5,4,3,4,5,1,5,2,1,4,2,Blockchain
3,3,3,2,1,1,1,2,1,1,5,4,3,2,1,2,1,1,5,5,1,5,Product Management
4,3,3,2,1,1,1,2,1,1,5,4,3,2,1,2,1,1,5,5,1,5,Product Management
3,4,3,2,1,1,1,2,1,1,5,5,3,2,1,2,1,1,5,5,1,5,Product Management
4,4,3,2,1,1,1,2,1,1,5,5,4,2,1,2,1,1,5,5,1,5,Product Management
4,3,3,1,1,1,1,1,1,1,5,3,2,2,5,4,1,1,2,1,5,2,QA / Testing
5,3,3,1,1,1,1,1,1,1,5,4,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,4,3,1,1,1,1,1,1,1,5,4,2,2,5,4,1,1,2,1,4,2,QA / Testing
5,4,3,1,1,1,1,1,1,1,5,5,2,2,5,4,1,1,2,1,5,2,QA / Testing
4,3,3,2,1,1,1,1,5,1,4,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,3,3,2,1,1,1,1,5,1,5,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
4,4,3,2,1,1,1,1,5,1,4,4,2,1,2,5,1,1,2,1,4,2,Embedded / IoT
5,4,3,2,1,1,1,1,5,1,5,4,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,5,5,5,5,5,1,1,1,1,5,5,5,4,4,4,1,1,2,1,5,2,AI/ML
4,5,5,5,4,5,1,1,1,1,4,5,4,4,4,4,1,1,2,1,4,2,AI/ML
5,4,5,5,5,4,1,1,1,1,5,4,5,5,4,4,1,1,2,1,5,2,AI/ML
4,4,5,4,4,4,1,1,1,1,4,4,4,5,4,4,1,1,2,1,4,2,AI/ML
5,5,4,5,5,5,1,1,1,1,5,5,4,4,5,4,1,1,2,1,5,2,Data Science
4,5,4,5,4,5,1,1,1,1,4,5,4,4,5,4,1,1,2,1,4,2,Data Science
5,4,4,5,5,4,1,1,1,1,5,4,4,5,5,4,1,1,2,1,5,2,Data Science
4,4,4,4,4,4,1,1,1,1,4,4,4,5,5,4,1,1,2,1,4,2,Data Science
5,5,3,3,2,2,1,2,2,1,5,5,4,2,5,5,1,1,2,1,5,2,Backend Software
4,5,3,3,2,2,1,2,2,1,4,5,4,2,4,5,1,1,2,1,4,2,Backend Software
5,4,3,3,2,2,1,2,2,1,5,4,4,3,5,4,1,1,2,1,5,2,Backend Software
4,4,3,3,2,2,1,2,2,1,4,4,4,3,4,4,1,1,2,1,4,2,Backend Software
5,5,2,4,2,3,2,2,3,5,4,5,2,5,5,5,1,1,2,1,5,2,Frontend Dev
4,5,2,4,2,3,2,2,3,4,4,4,2,4,4,5,1,1,2,1,4,2,Frontend Dev
5,4,2,4,2,3,2,2,3,5,4,5,2,5,4,5,1,1,2,1,5,2,Frontend Dev
4,4,2,4,2,3,2,2,3,4,4,4,2,4,5,4,1,1,2,1,4,2,Frontend Dev
5,5,3,4,3,3,2,3,2,5,4,5,3,5,5,5,1,1,2,1,5,2,Full Stack
4,5,3,4,3,3,2,3,2,4,4,4,3,4,4,5,1,1,2,1,4,2,Full Stack
5,4,3,4,3,3,2,3,2,5,4,5,3,5,4,5,1,1,2,1,5,2,Full Stack
4,4,3,4,3,3,2,3,2,4,4,4,3,4,5,4,1,1,2,1,4,2,Full Stack
5,5,2,2,2,2,5,5,5,2,5,5,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,5,2,2,2,2,5,5,5,2,4,5,5,5,5,5,1,1,2,1,4,2,Cybersecurity
5,4,2,2,2,2,5,5,5,2,5,4,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,4,2,2,2,2,5,5,5,2,4,4,5,5,5,5,1,1,2,1,4,2,Cybersecurity
3,3,5,1,1,1,1,1,1,5,5,4,3,2,5,5,5,1,2,4,2,2,Game Development
4,3,5,1,1,1,1,1,1,5,5,4,3,2,5,5,4,1,2,4,2,2,Game Development
3,4,5,1,1,1,1,1,1,5,5,4,3,2,5,5,5,1,2,4,2,2,Game Development
4,4,5,1,1,1,1,1,1,5,5,5,3,2,5,5,5,1,2,4,2,2,Game Development
3,3,5,1,1,1,1,1,1,5,4,3,1,1,4,5,5,1,2,5,1,1,AR/VR
4,3,5,1,1,1,1,1,1,5,4,4,1,1,4,5,5,1,2,5,1,1,AR/VR
3,4,5,1,1,1,1,1,1,5,5,4,1,1,4,5,5,1,2,5,1,1,AR/VR
4,4,5,1,1,1,1,1,1,5,5,5,1,1,4,5,5,1,2,5,1,1,AR/VR
5,4,3,2,1,1,1,1,1,1,5,4,4,3,5,5,1,5,2,1,5,2,Blockchain
4,4,3,2,1,1,1,1,1,1,4,4,4,3,5,5,1,5,2,1,4,2,Blockchain
5,5,3,2,1,1,1,1,1,1,5,5,4,4,5,5,1,5,2,1,5,2,Blockchain
4,5,3,2,1,1,1,1,1,1,4,5,4,4,5,5,1,5,2,1,4,2,Blockchain
3,3,3,2,1,1,1,2,1,1,5,4,3,2,2,2,1,1,5,5,1,5,Product Management
4,3,3,2,1,1,1,2,1,1,5,4,3,2,2,2,1,1,5,5,1,5,Product Management
3,4,3,2,1,1,1,2,1,1,5,5,3,2,2,2,1,1,5,5,1,5,Product Management
4,4,3,2,1,1,1,2,1,1,5,5,4,2,2,2,1,1,5,5,1,5,Product Management
4,3,3,1,1,1,1,1,1,1,5,3,2,2,5,5,1,1,2,1,5,2,QA / Testing
5,3,3,1,1,1,1,1,1,1,5,4,2,2,5,5,1,1,2,1,5,2,QA / Testing
4,4,3,1,1,1,1,1,1,1,5,4,2,2,5,5,1,1,2,1,4,2,QA / Testing
5,4,3,1,1,1,1,1,1,1,5,5,2,2,5,5,1,1,2,1,5,2,QA / Testing
4,3,3,2,1,1,1,1,5,1,4,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,3,3,2,1,1,1,1,5,1,5,3,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
4,4,3,2,1,1,1,1,5,1,4,4,2,1,2,5,1,1,2,1,4,2,Embedded / IoT
5,4,3,2,1,1,1,1,5,1,5,4,2,1,2,5,1,1,2,1,5,2,Embedded / IoT
5,5,5,5,5,5,1,1,1,1,5,5,5,5,4,4,1,1,2,1,5,2,AI/ML
4,5,5,5,5,4,1,1,1,1,4,5,5,4,4,5,1,1,2,1,4,2,AI/ML
5,4,5,5,4,5,1,1,1,1,5,4,5,5,5,4,1,1,2,1,5,2,AI/ML
4,4,5,5,4,4,1,1,1,1,4,4,5,5,4,4,1,1,2,1,4,2,AI/ML
5,5,4,5,5,5,1,1,1,1,5,5,5,4,5,5,1,1,2,1,5,2,Data Science
4,5,4,5,4,5,1,1,1,1,4,5,5,4,5,5,1,1,2,1,4,2,Data Science
5,4,4,4,5,4,1,1,1,1,5,4,5,5,5,4,1,1,2,1,5,2,Data Science
4,4,4,4,4,4,1,1,1,1,4,4,5,4,5,4,1,1,2,1,4,2,Data Science
5,5,3,3,2,2,1,2,2,1,5,5,5,3,4,5,1,1,2,1,5,2,Backend Software
4,5,3,3,2,2,1,2,2,1,4,5,4,3,4,5,1,1,2,1,4,2,Backend Software
5,4,3,3,2,2,1,2,2,1,5,4,5,4,5,4,1,1,2,1,5,2,Backend Software
4,4,3,3,2,2,1,2,2,1,4,4,4,4,4,4,1,1,2,1,4,2,Backend Software
5,5,2,4,3,3,2,3,2,5,5,5,3,5,5,5,1,1,2,1,5,2,Frontend Dev
4,5,2,4,3,3,2,3,2,4,4,5,3,4,4,5,1,1,2,1,4,2,Frontend Dev
5,4,2,4,3,3,2,3,2,5,5,5,3,5,4,5,1,1,2,1,5,2,Frontend Dev
4,4,2,4,3,3,2,3,2,4,4,4,3,4,5,4,1,1,2,1,4,2,Frontend Dev
5,5,3,4,3,3,2,3,3,5,5,5,4,5,5,5,1,1,2,1,5,2,Full Stack
4,5,3,4,3,3,2,3,3,4,4,4,4,4,4,5,1,1,2,1,4,2,Full Stack
5,4,3,4,3,3,2,3,3,5,5,5,4,5,4,5,1,1,2,1,5,2,Full Stack
4,4,3,4,3,3,2,3,3,4,4,4,4,4,5,4,1,1,2,1,4,2,Full Stack
5,5,2,2,2,2,5,5,5,2,5,5,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,5,2,2,2,2,5,5,5,2,4,5,5,5,5,5,1,1,2,1,4,2,Cybersecurity
5,4,2,2,2,2,5,5,5,2,5,4,5,5,5,5,1,1,2,1,5,2,Cybersecurity
4,4,2,2,2,2,5,5,5,2,4,4,5,5,5,5,1,1,2,1,4,2,Cybersecurity
3,3,5,1,1,1,1,1,1,5,5,4,3,3,5,5,5,1,2,4,2,2,Game Development
4,3,5,1,1,1,1,1,1,5,5,4,3,3,5,5,4,1,2,4,2,2,Game Development
3,4,5,1,1,1,1,1,1,5,5,5,3,3,5,5,5,1,2,4,2,2,Game Development
4,4,5,1,1,1,1,1,1,5,5,5,3,3,5,5,5,1,2,4,2,2,Game Development
3,3,5,1,1,1,1,1,1,5,4,3,1,2,4,5,5,1,2,5,1,1,AR/VR
4,3,5,1,1,1,1,1,1,5,4,4,1,2,4,5,5,1,2,5,1,1,AR/VR
3,4,5,1,1,1,1,1,1,5,5,4,1,2,5,5,5,1,2,5,1,1,AR/VR
4,4,5,1,1,1,1,1,1,5,5,5,1,2,5,5,5,1,2,5,1,1,AR/VR
5,4,3,2,1,1,1,1,1,1,5,4,4,4,5,5,1,5,2,1,5,2,Blockchain
4,4,3,2,1,1,1,1,1,1,4,4,4,4,5,5,1,5,2,1,4,2,Blockchain
5,5,3,2,1,1,1,1,1,1,5,5,5,5,5,5,1,5,2,1,5,2,Blockchain
4,5,3,2,1,1,1,1,1,1,4,5,4,5,5,5,1,5,2,1,4,2,Blockchain
3,3,3,2,1,1,1,2,1,1,5,4,3,2,2,3,1,1,5,5,1,5,Product Management
4,3,3,2,1,1,1,2,1,1,5,4,3,2,2,3,1,1,5,5,1,5,Product Management
3,4,3,2,1,1,1,2,1,1,5,5,3,2,2,3,1,1,5,5,1,5,Product Management
4,4,3,2,1,1,1,2,1,1,5,5,4,2,2,3,1,1,5,5,1,5,Product Management
4,3,3,1,1,1,1,1,1,1,5,3,2,2,5,5,1,1,2,1,5,2,QA / Testing
5,3,3,1,1,1,1,1,1,1,5,4,2,2,5,5,1,1,2,1,5,2,QA / Testing
4,4,3,1,1,1,1,1,1,1,5,4,2,2,5,5,1,1,2,1,4,2,QA / Testing
5,4,3,1,1,1,1,1,1,1,5,5,2,2,5,5,1,1,2,1,5,2,QA / Testing
4,3,3,2,1,1,1,1,5,1,4,3,2,2,2,5,1,1,2,1,5,2,Embedded / IoT
5,3,3,2,1,1,1,1,5,1,5,3,2,2,2,5,1,1,2,1,5,2,Embedded / IoT
4,4,3,2,1,1,1,1,5,1,4,4,2,2,2,5,1,1,2,1,4,2,Embedded / IoT
5,4,3,2,1,1,1,1,5,1,5,4,2,2,2,5,1,1,2,1,5,2,Embedded / IoT
